survey2,hhid2,indID,relat,gender,age,degree,wf2
bsh,1003700,1,1,1,92,4,37.630001
bsh,1003710,1,1,2,77,6,37.630001
bsh,1003750,1,2,2,68,3,20.667534
bsh,1003750,2,2,1,72,3,20.667534
bsh,1003760,1,1,2,77,2,37.630001
bsh,1003770,1,1,2,82,4,37.630001
bsh,1003783,1,3,1,36,4,55.89727
bsh,1003783,2,3,2,35,3,55.89727
bsh,1003783,3,4,2,9,,55.89727
bsh,1003830,1,3,1,31,6,55.89727
bsh,1003830,2,3,2,33,6,55.89727
bsh,1003830,3,4,2,5,,55.89727
bsh,1003850,1,3,1,49,2,55.89727
bsh,1003850,2,3,2,48,3,55.89727
bsh,1003850,3,4,1,24,3,55.89727
bsh,1003850,4,4,2,20,3,55.89727
bsh,1003850,5,4,2,12,,55.89727
bsh,1003860,1,3,1,59,6,55.89727
bsh,1003860,2,3,2,58,7,55.89727
bsh,1003860,3,4,1,26,5,55.89727
bsh,1003860,4,4,2,24,3,55.89727
bsh,1003880,1,2,2,65,4,20.667534
bsh,1003880,2,2,1,63,5,20.667534
bsh,1003911,1,3,1,34,4,48.014259
bsh,1003911,2,3,2,27,2,48.014259
bsh,1003911,3,4,2,3,,48.014259
bsh,1003961,1,1,2,61,4,37.630001
bsh,1003981,1,2,1,35,1,32.630047
bsh,1003981,2,2,2,35,4,32.630047
bsh,1004070,1,3,2,24,3,48.014259
bsh,1004070,2,3,1,35,3,48.014259
bsh,1004070,3,4,1,4,,48.014259
bsh,1004070,4,4,1,1,,48.014259
bsh,1004120,1,3,2,36,5,48.014259
bsh,1004120,2,3,1,67,6,48.014259
bsh,1004120,3,4,1,12,,48.014259
bsh,1004160,1,3,1,43,2,48.014259
bsh,1004160,2,3,2,47,4,48.014259
bsh,1004160,3,4,2,16,4,48.014259
bsh,1004160,4,4,2,12,,48.014259
bsh,1004160,5,4,1,13,,48.014259
bsh,1004160,6,4,2,10,,48.014259
bsh,1004180,1,3,1,45,2,48.014259
bsh,1004180,2,3,2,45,5,48.014259
bsh,1004180,3,4,2,21,3,48.014259
bsh,1004210,1,2,2,24,3,32.630047
bsh,1004210,2,2,1,26,3,32.630047
bsh,1004290,1,3,1,35,5,48.014259
bsh,1004290,2,3,2,35,6,48.014259
bsh,1004290,3,4,2,3,,48.014259
bsh,1004290,4,4,1,1,,48.014259
bsh,1004352,1,9,2,19,3,41.384823
bsh,1004352,2,9,2,21,3,41.384823
bsh,1004352,3,9,2,19,3,41.384823
bsh,1004352,4,9,2,19,3,41.384823
bsh,1004352,5,9,2,21,3,41.384823
bsh,1004352,6,9,2,19,3,41.384823
bsh,1004370,1,3,1,35,3,41.05933
bsh,1004370,2,3,2,35,4,41.05933
bsh,1004370,3,6,2,54,4,41.05933
bsh,1004370,4,4,1,1,,41.05933
bsh,1004380,1,2,1,26,3,26.593588
bsh,1004380,2,2,2,24,3,26.593588
bsh,1004430,1,3,2,62,4,26.593588
bsh,1004430,2,4,2,22,3,26.593588
bsh,1004470,1,1,1,30,5,35.548573
bsh,1004482,1,3,1,32,5,41.05933
bsh,1004482,2,3,2,29,4,41.05933
bsh,1004482,3,4,1,4,,41.05933
bsh,1004482,4,4,2,2,,41.05933
bsh,1004490,1,1,1,44,5,35.548573
bsh,1004510,1,3,2,28,3,47.830555
bsh,1004510,2,3,1,29,4,47.830555
bsh,1004510,3,4,2,8,,47.830555
bsh,1004510,4,4,1,6,,47.830555
bsh,1004510,5,4,2,5,,47.830555
bsh,1004560,1,2,1,31,5,31.027939
bsh,1004560,2,2,2,27,5,31.027939
bsh,1004570,1,1,2,65,3,40.51059
bsh,1004640,1,1,2,71,4,40.51059
bsh,1004680,1,2,1,31,5,29.123976
bsh,1004680,2,2,2,31,5,29.123976
bsh,1004710,1,1,1,38,5,40.51059
bsh,1004760,1,9,1,26,4,43.316151
bsh,1004760,2,9,2,25,3,43.316151
bsh,1004760,3,9,1,25,3,43.316151
bsh,1004780,1,3,2,46,4,14.44231
bsh,1004780,2,4,2,17,,14.44231
bsh,1004790,1,2,1,27,5,14.44231
bsh,1004790,2,2,2,25,5,14.44231
bsh,1004800,1,2,1,31,5,14.44231
bsh,1004800,2,2,2,31,6,14.44231
bsh,1004920,1,2,1,30,3,14.44231
bsh,1004920,2,2,2,29,5,14.44231
